,annual_income,education_category,living_place,family_size,age,working_years,emp_stability,has_children,owns_realty_and_car,has_contact_information,credit_window,bad_client
35723,180000,3.0,3,2.0,36,10,True,True,False,True,18,False
30115,157500,1.0,3,4.0,37,0,False,True,False,False,7,False
11911,135000,3.0,3,4.0,34,12,True,True,False,True,47,False
10618,202500,3.0,3,2.0,40,7,True,False,True,False,45,False
26199,157500,1.0,2,2.0,49,8,True,False,False,True,18,False
35786,315000,3.0,3,2.0,47,6,True,False,True,False,36,False
25076,135000,3.0,5,3.0,39,9,True,True,True,False,15,False
22262,135000,1.0,3,2.0,33,10,True,False,True,False,18,False
23421,180000,3.0,3,3.0,29,3,False,True,False,False,27,False
19277,135000,2.0,3,3.0,31,13,True,True,True,True,43,False
15205,171000,2.0,3,3.0,30,5,True,True,True,True,49,False
28021,90000,3.0,3,2.0,55,3,False,False,False,False,54,False
20208,180000,3.0,3,5.0,39,9,True,True,False,False,53,False
28249,135000,3.0,3,4.0,40,10,True,True,True,True,53,False
31107,135000,1.0,3,4.0,36,6,True,True,False,True,12,False
35062,90000,3.0,3,2.0,49,4,False,False,True,True,50,False
9091,157500,2.0,3,2.0,28,2,False,False,False,False,22,False
12200,225000,3.0,3,3.0,35,2,False,True,False,False,25,True
3042,202500,3.0,3,2.0,32,4,False,False,True,True,49,False
27007,135000,2.0,3,3.0,26,5,True,True,False,True,57,False
18592,225000,1.0,3,2.0,32,9,True,False,True,True,31,False
11218,90000,1.0,3,1.0,49,1,False,False,False,True,33,False
12462,253800,1.0,3,2.0,56,8,True,False,False,True,47,False
17244,135000,3.0,3,2.0,40,2,False,False,True,False,25,False
13055,112500,3.0,3,2.0,38,1,False,False,False,False,23,False
21687,157500,3.0,3,2.0,47,8,True,False,False,False,22,False
5643,247500,3.0,3,2.0,40,3,False,False,True,False,52,False
4127,112500,3.0,5,4.0,40,1,False,True,False,False,39,False
26518,315000,1.0,3,3.0,30,5,True,True,False,True,59,False
3183,202500,1.0,3,1.0,32,4,False,False,True,False,26,False
11464,247500,3.0,3,2.0,38,9,True,False,True,False,24,False
30564,270000,3.0,3,1.0,50,5,True,False,False,True,47,False
13508,108000,3.0,5,2.0,33,8,True,False,False,True,36,False
16673,180000,1.0,5,3.0,31,2,False,True,False,True,12,False
16690,180000,1.0,5,2.0,30,4,False,False,True,False,26,False
25103,139500,2.0,3,2.0,42,5,True,False,True,False,24,False
33064,180000,3.0,3,2.0,28,4,False,False,False,False,6,False
31619,225000,3.0,3,3.0,30,2,False,True,True,False,9,False
5478,135000,3.0,3,1.0,49,7,True,False,False,True,54,False
21007,225000,2.0,3,2.0,33,4,False,False,True,False,47,False
1038,315000,3.0,3,2.0,38,2,False,False,True,False,3,False
24675,157500,3.0,3,3.0,40,2,False,True,False,False,60,False
9502,180000,3.0,3,4.0,41,1,False,True,False,True,18,False
25425,90000,3.0,3,2.0,37,16,True,False,False,False,1,False
27420,90000,3.0,3,2.0,36,6,True,False,False,True,4,False
6175,135000,2.0,3,2.0,27,1,False,True,False,False,49,False
1888,225000,1.0,3,3.0,34,6,True,True,True,True,11,False
32778,157500,3.0,3,2.0,51,8,True,False,False,True,59,False
7853,157500,2.0,3,2.0,47,21,True,False,True,True,43,False
17118,121500,3.0,3,3.0,35,3,False,True,False,False,26,False
29741,202500,3.0,3,2.0,36,2,False,False,False,True,11,False
31831,252000,1.0,3,3.0,33,10,True,True,False,False,31,False
29713,135000,1.0,5,4.0,31,13,True,True,False,True,19,False
28273,180000,1.0,3,4.0,36,6,True,True,True,False,60,False
10639,180000,1.0,3,3.0,25,3,False,True,False,False,27,False
16588,157500,3.0,3,3.0,42,5,True,True,False,False,3,False
28931,126000,3.0,3,3.0,27,1,False,True,True,True,15,False
31586,135000,3.0,3,4.0,34,0,False,True,False,True,34,False
7308,292500,3.0,3,2.0,28,2,False,False,False,False,21,False
26427,157500,3.0,3,2.0,35,8,True,False,False,False,53,False
12245,247500,3.0,3,2.0,41,17,True,True,False,False,6,False
11441,157500,1.0,3,3.0,26,8,True,True,True,False,10,False
18347,202500,3.0,3,2.0,55,10,True,False,False,False,1,False
24383,180000,3.0,5,2.0,40,3,False,False,False,False,29,False
14810,247500,3.0,3,2.0,54,7,True,False,True,True,60,False
23276,315000,1.0,3,2.0,44,6,True,True,True,False,33,False
9354,202500,3.0,3,3.0,52,1,False,True,True,True,41,False
28940,112500,3.0,3,2.0,50,17,True,False,False,False,33,False
12942,270000,3.0,3,4.0,39,0,False,True,True,True,3,False
13394,184500,3.0,2,2.0,49,3,False,False,False,False,42,False
29387,76500,3.0,3,2.0,42,5,True,False,False,True,42,False
35783,315000,3.0,3,2.0,47,6,True,False,True,False,9,False
32287,270000,1.0,3,2.0,28,1,False,False,False,True,4,False
19889,72000,1.0,3,2.0,59,1,False,False,True,False,19,False
12989,135000,3.0,3,3.0,55,3,False,True,False,False,21,False
5942,112500,3.0,3,4.0,34,2,False,True,False,False,11,False
19317,189000,1.0,3,2.0,42,11,True,False,True,False,27,False
35179,135000,3.0,3,4.0,41,13,True,True,False,False,47,False
7912,180000,3.0,3,2.0,46,4,False,False,True,False,32,False
35990,90000,3.0,3,3.0,48,18,True,True,True,True,10,False
6944,157500,3.0,3,2.0,47,4,False,False,False,False,38,False
33335,315000,2.0,3,2.0,29,3,False,False,True,False,28,False
6386,270000,1.0,3,2.0,29,1,False,False,True,False,39,False
6002,202500,3.0,3,3.0,45,8,True,True,False,False,46,False
27591,135000,3.0,3,3.0,27,3,False,True,False,False,35,False
11998,76500,3.0,3,2.0,39,8,True,False,False,False,26,False
18731,202500,3.0,3,1.0,52,9,True,False,False,False,59,False
26775,135000,1.0,3,2.0,48,1,False,False,True,False,12,False
26954,270000,3.0,3,1.0,51,1,False,False,False,False,6,False
2027,247500,1.0,3,2.0,60,1,False,False,False,True,53,False
5644,247500,3.0,3,2.0,40,3,False,False,True,False,35,False
1467,180000,3.0,3,2.0,34,1,False,False,True,False,59,False
35595,157500,1.0,3,2.0,33,4,False,False,False,True,44,False
25643,153000,3.0,3,2.0,51,1,False,False,False,True,18,False
21972,225000,3.0,3,2.0,39,1,False,True,False,False,18,False
33218,360000,1.0,3,2.0,47,5,True,False,True,False,13,False
15861,135000,1.0,3,2.0,46,0,False,False,False,False,14,False
16666,85500,3.0,3,4.0,39,8,True,True,True,False,61,False
25868,135000,3.0,3,5.0,36,1,False,True,False,False,59,False
34299,135000,3.0,3,2.0,43,5,True,False,False,False,53,False
26711,112500,1.0,3,2.0,55,28,True,False,False,True,12,False
21575,90000,3.0,3,2.0,47,12,True,False,False,False,10,False
34879,180000,3.0,2,3.0,34,6,True,True,False,False,12,False
12241,112500,3.0,3,2.0,43,20,True,True,False,False,2,False
29002,112500,3.0,3,3.0,47,6,True,True,False,True,49,False
6879,112500,3.0,3,3.0,38,0,False,True,True,True,35,False
27480,135000,1.0,5,1.0,27,1,False,False,False,True,10,False
27850,270000,1.0,3,2.0,48,1,False,False,True,True,12,False
9443,342000,1.0,3,1.0,33,10,True,False,False,False,7,False
33351,117000,3.0,3,3.0,46,14,True,True,False,False,29,False
5849,225000,3.0,3,2.0,41,15,True,False,False,False,50,False
21743,202500,3.0,3,2.0,36,13,True,False,False,True,59,False
18046,135000,3.0,5,1.0,31,2,False,False,False,False,11,False
16264,76500,1.0,3,3.0,43,2,False,True,False,True,15,False
11733,171000,3.0,3,1.0,54,23,True,False,False,True,6,False
34662,211500,3.0,3,1.0,27,3,False,False,False,True,26,False
18446,216000,1.0,3,2.0,52,20,True,False,False,True,19,False
13846,225000,1.0,5,2.0,35,13,True,False,False,True,6,False
17913,229500,3.0,3,3.0,59,11,True,True,False,False,23,False
15557,180000,3.0,3,1.0,45,25,True,False,False,False,11,False
14606,324000,1.0,3,3.0,36,13,True,True,False,False,61,False
22894,247500,1.0,3,2.0,32,8,True,False,False,False,38,False
33846,135000,3.0,5,2.0,27,1,False,False,False,True,60,False
22463,243000,1.0,3,4.0,28,0,False,True,True,False,12,False
34659,211500,3.0,3,1.0,27,3,False,False,False,True,36,False
8930,202500,3.0,3,3.0,24,1,False,True,False,True,11,False
32323,153000,3.0,3,2.0,42,2,False,False,False,True,5,False
28260,180000,1.0,3,4.0,36,6,True,True,True,False,36,False
10638,180000,1.0,3,3.0,25,3,False,True,False,False,7,False
6183,153000,2.0,3,2.0,25,2,False,False,False,True,28,False
29830,157500,3.0,3,2.0,31,1,False,True,False,True,32,False
5953,112500,3.0,3,4.0,43,2,False,True,False,False,6,False
35501,135000,1.0,3,3.0,30,6,True,True,True,False,9,False
20710,306000,1.0,3,2.0,35,7,True,False,False,True,33,False
8658,270000,3.0,3,2.0,35,6,True,False,False,False,43,False
34961,144000,3.0,3,2.0,28,6,True,False,True,True,27,False
30532,112500,3.0,3,2.0,43,4,False,True,False,False,9,False
8227,202500,3.0,3,3.0,44,9,True,True,False,True,46,False
6040,67500,3.0,3,2.0,27,5,True,False,False,False,27,False
21452,315000,1.0,3,2.0,54,11,True,False,False,False,19,False
26529,315000,1.0,3,3.0,30,5,True,True,False,True,42,False
23804,117000,3.0,3,2.0,46,20,True,False,False,True,41,False
14084,103500,3.0,3,2.0,50,1,False,False,False,True,43,False
9621,121500,3.0,3,2.0,28,1,False,False,False,True,48,False
17214,157500,3.0,3,2.0,25,3,False,False,False,True,9,False
30354,49500,3.0,3,2.0,50,0,False,False,False,True,21,False
29758,76500,3.0,3,2.0,35,14,True,False,False,False,44,False
22177,202500,3.0,3,2.0,61,1,False,False,False,False,53,False
1236,126000,3.0,3,2.0,39,20,True,False,False,True,5,False
12599,81000,3.0,3,1.0,52,6,True,False,False,True,6,False
4310,315000,1.0,3,4.0,46,3,False,True,True,False,34,False
5979,202500,1.0,3,2.0,40,5,True,False,False,False,30,False
3220,180000,3.0,3,1.0,34,2,False,False,False,False,32,False
13733,202500,3.0,3,2.0,27,7,True,False,False,True,9,False
396,130500,3.0,3,2.0,41,13,True,False,False,True,40,False
30162,90000,3.0,3,3.0,44,10,True,True,False,True,35,False
3930,90000,3.0,3,2.0,51,2,False,False,False,True,56,False
2337,112500,3.0,3,3.0,28,7,True,True,False,True,36,False
32400,315000,1.0,5,3.0,32,1,False,True,False,True,50,False
34953,112500,3.0,3,1.0,49,8,True,False,False,False,43,False
36126,247500,1.0,3,2.0,60,1,False,False,False,True,21,False
17379,225000,1.0,3,2.0,42,0,False,True,True,True,56,False
27247,202500,3.0,3,1.0,41,22,True,False,False,True,36,False
2063,270000,3.0,3,3.0,46,1,False,True,False,False,29,False
32466,292500,3.0,3,4.0,40,19,True,True,False,True,23,False
22025,135000,3.0,3,1.0,48,5,True,False,False,True,60,False
25388,225000,2.0,3,2.0,31,9,True,False,False,True,3,False
17501,144000,1.0,3,2.0,46,9,True,False,False,False,52,False
21307,180000,3.0,3,2.0,63,14,True,False,False,False,55,False
10432,202500,3.0,3,2.0,40,1,False,False,False,False,7,False
3336,225000,2.0,3,2.0,51,32,True,False,True,True,56,False
20356,180000,3.0,3,1.0,48,22,True,False,False,True,7,False
8746,202500,1.0,3,2.0,28,4,False,False,True,False,39,False
33124,337500,3.0,3,4.0,26,0,False,True,False,False,18,False
25581,247500,1.0,3,2.0,44,13,True,False,True,True,28,False
17731,112500,3.0,3,3.0,38,0,False,True,False,False,28,False
13549,81000,3.0,3,3.0,39,3,False,True,False,True,4,False
33271,112500,3.0,3,3.0,44,2,False,True,True,True,8,False
22323,112500,3.0,3,4.0,29,3,False,True,False,True,13,False
4263,202500,3.0,3,1.0,44,7,True,False,False,True,42,False
23211,229500,1.0,3,3.0,30,4,False,True,False,False,47,False
1345,270000,1.0,3,4.0,37,12,True,True,False,False,11,False
8774,202500,3.0,3,2.0,54,16,True,False,True,False,14,False
14414,121500,3.0,3,2.0,49,25,True,False,False,True,13,False
27934,135000,1.0,3,2.0,40,4,False,False,True,False,49,False
22193,135000,1.0,3,2.0,32,10,True,False,True,True,40,False
19524,144000,3.0,3,2.0,50,2,False,False,False,False,11,False
16856,247500,1.0,5,1.0,28,5,True,False,False,True,29,False
16022,135000,1.0,2,3.0,34,6,True,True,False,False,25,False
21034,225000,1.0,3,3.0,37,17,True,True,False,False,55,False
26605,87750,3.0,3,2.0,54,2,False,False,False,False,25,False
4390,270000,3.0,3,2.0,34,5,True,False,False,False,33,False
26,270000,3.0,3,5.0,34,3,False,True,True,False,19,False
29350,135000,3.0,3,2.0,52,10,True,False,False,True,31,False
5881,139500,1.0,5,2.0,25,1,False,False,False,True,10,False
15526,202500,3.0,3,2.0,22,2,False,False,False,True,14,False
35146,225000,3.0,3,2.0,47,10,True,False,False,False,41,False
27176,270000,3.0,5,2.0,24,2,False,False,False,True,25,False
36442,108000,3.0,1,2.0,47,2,False,False,False,False,22,True
23494,175500,3.0,3,2.0,51,30,True,False,False,True,47,False
35998,90000,3.0,3,1.0,50,9,True,False,False,True,22,False
26994,360000,1.0,3,2.0,38,2,False,False,False,False,9,False
5376,270000,3.0,3,3.0,45,7,True,True,False,True,46,False
12905,315000,1.0,3,2.0,42,10,True,False,False,True,24,False
19684,180000,2.0,3,3.0,42,18,True,True,True,False,47,False
22904,292500,3.0,5,3.0,32,4,False,True,True,False,14,False
9122,180000,1.0,3,1.0,63,5,True,False,False,False,23,False
34315,225000,1.0,5,1.0,25,1,False,False,True,True,6,False
806,99000,3.0,3,2.0,40,14,True,False,False,True,21,False
16275,72000,3.0,3,3.0,22,1,False,True,False,True,4,True
15193,180000,3.0,3,3.0,28,2,False,True,False,False,12,False
23656,225000,3.0,3,2.0,41,10,True,True,False,True,20,False
13013,247500,3.0,3,2.0,49,6,True,False,True,False,45,False
23269,180000,3.0,3,4.0,32,11,True,True,False,True,61,False
4485,135000,1.0,3,2.0,38,3,False,False,True,False,24,False
20078,117000,1.0,3,3.0,52,1,False,True,False,True,6,False
15285,135000,1.0,3,2.0,36,4,False,False,False,False,3,False
26372,81000,1.0,3,3.0,29,3,False,True,True,True,16,False
19472,157500,1.0,3,2.0,42,2,False,False,True,True,24,False
30551,112500,3.0,3,2.0,64,1,False,False,False,False,54,False
15818,135000,1.0,3,3.0,40,12,True,True,True,False,41,False
35954,54000,3.0,3,1.0,23,4,False,False,True,False,41,False
15527,202500,3.0,3,2.0,22,2,False,False,False,True,26,False
9270,180000,3.0,3,1.0,42,18,True,False,False,False,41,False
8369,135000,3.0,5,2.0,44,8,True,False,True,False,9,False
26290,135000,3.0,3,2.0,39,9,True,False,True,True,48,False
29526,135000,1.0,5,3.0,29,6,True,True,False,False,38,False
6269,103500,3.0,3,3.0,34,3,False,True,False,True,24,False
21668,180000,3.0,3,1.0,37,7,True,False,False,False,49,False
7127,270000,1.0,2,3.0,35,0,False,True,False,True,35,False
20380,72000,3.0,3,1.0,51,4,False,False,False,True,56,False
8490,144000,1.0,3,2.0,51,12,True,False,False,False,53,False
3239,225000,1.0,3,4.0,38,9,True,True,True,False,38,False
22063,67500,3.0,3,4.0,42,1,False,True,False,False,17,False
3324,135000,3.0,3,5.0,35,3,False,True,True,False,11,False
28723,157500,1.0,3,2.0,42,1,False,False,False,False,40,False
11524,90000,3.0,3,2.0,40,7,True,False,False,False,51,False
14841,157500,1.0,3,2.0,46,2,False,False,False,True,9,False
24700,135000,1.0,3,2.0,49,12,True,False,False,True,19,False
1902,310500,1.0,3,1.0,27,1,False,False,False,False,27,False
29290,135000,1.0,3,1.0,50,10,True,False,True,False,24,False
11131,225000,3.0,3,2.0,29,1,False,False,True,False,12,False
18896,180000,1.0,3,3.0,37,5,True,True,False,False,38,False
736,270000,1.0,3,2.0,52,20,True,False,False,True,50,False
16405,157500,3.0,3,1.0,48,21,True,False,False,True,5,False
13041,247500,2.0,3,4.0,35,2,False,True,True,False,37,False
29262,270000,3.0,3,1.0,41,6,True,False,True,True,23,False
15517,225000,3.0,3,1.0,44,11,True,False,False,False,35,False
14995,112500,3.0,5,1.0,25,0,False,False,True,False,4,False
20574,225000,3.0,3,1.0,24,0,False,False,False,True,10,False
33572,360000,1.0,3,3.0,30,1,False,True,False,True,46,False
5260,67500,3.0,3,3.0,32,9,True,True,False,False,26,False
19543,225000,3.0,3,2.0,39,0,False,False,False,False,5,False
19930,225000,1.0,3,1.0,25,4,False,False,True,False,15,False
12904,315000,1.0,3,2.0,42,10,True,False,False,True,45,False
23519,45000,1.0,3,2.0,50,8,True,False,False,True,53,False
26324,270000,3.0,3,3.0,35,0,False,True,False,True,24,False
16600,360000,1.0,3,2.0,45,11,True,True,False,True,56,False
3976,112500,3.0,3,2.0,54,17,True,False,False,False,16,False
23661,135000,3.0,3,2.0,41,3,False,True,False,False,36,False
14294,40500,3.0,3,2.0,34,13,True,False,False,True,4,False
14596,112500,1.0,3,2.0,54,15,True,False,False,False,33,False
28572,193500,1.0,3,2.0,30,3,False,False,False,False,45,False
11610,90000,3.0,3,1.0,51,27,True,False,False,False,17,False
11160,216000,1.0,3,2.0,54,12,True,False,False,True,11,False
33874,180000,1.0,5,2.0,35,15,True,False,False,False,19,False
9410,135000,3.0,3,4.0,32,7,True,True,True,False,37,False
35650,180000,3.0,3,3.0,32,8,True,True,False,False,54,False
12375,171000,1.0,3,4.0,27,2,False,True,False,False,12,False
18438,135000,1.0,5,2.0,42,1,False,False,False,True,7,False
28395,337500,1.0,3,4.0,42,11,True,True,False,True,1,False
30275,247500,3.0,3,2.0,41,1,False,False,False,False,17,False
159,112500,3.0,3,2.0,57,6,True,False,True,True,59,False
30938,112500,1.0,0,1.0,35,1,False,False,False,True,7,False
96,297000,3.0,4,1.0,42,8,True,False,False,False,20,False
3684,225000,1.0,3,3.0,45,7,True,True,True,True,14,False
1513,99000,3.0,3,1.0,56,0,False,False,True,True,19,False
13276,225000,3.0,3,1.0,33,3,False,False,True,True,10,False
14327,306000,1.0,3,2.0,40,9,True,False,False,True,46,False
12044,99000,3.0,3,3.0,42,22,True,True,False,True,14,False
23224,225000,1.0,3,2.0,33,10,True,False,True,False,26,False
1628,270000,3.0,3,2.0,35,4,False,False,True,False,33,False
2689,135000,3.0,2,1.0,54,0,False,False,False,False,31,False
33674,202500,3.0,3,6.0,39,5,True,True,False,True,27,False
6396,360000,3.0,3,4.0,36,2,False,True,True,True,24,False
36447,247500,3.0,3,2.0,30,9,True,False,True,True,26,False
29294,135000,4.0,3,2.0,34,1,False,False,False,False,5,False
13582,135000,3.0,3,2.0,46,15,True,False,False,True,43,False
19032,225000,1.0,3,2.0,40,8,True,False,False,False,8,False
3542,225000,3.0,4,4.0,35,14,True,True,True,False,51,False
13497,337500,3.0,3,1.0,26,0,False,False,False,True,33,False
31671,157500,3.0,3,2.0,34,3,False,True,False,False,24,False
33066,180000,3.0,3,2.0,28,4,False,False,False,False,2,False
24060,99000,3.0,5,3.0,26,2,False,True,False,False,45,False
19994,225000,3.0,3,2.0,37,10,True,False,True,True,19,False
817,166500,1.0,5,2.0,28,4,False,False,False,True,40,False
25057,135000,3.0,3,2.0,53,2,False,False,False,True,49,False
18572,157500,3.0,3,2.0,55,1,False,False,False,False,26,False
11242,162000,3.0,3,2.0,40,12,True,True,False,False,29,False
11506,292500,1.0,3,2.0,44,2,False,False,False,False,24,False
12399,135000,3.0,3,3.0,35,0,False,True,False,False,12,False
34985,225000,3.0,3,3.0,52,2,False,True,False,True,1,False
19097,225000,1.0,3,4.0,27,7,True,True,False,False,18,False
35148,225000,3.0,3,2.0,47,10,True,False,False,False,9,False
8690,112500,3.0,3,3.0,43,3,False,True,False,False,32,False
17719,166500,3.0,3,2.0,61,14,True,False,False,True,21,False
5840,157500,3.0,3,2.0,48,10,True,False,False,False,59,False
6973,144000,3.0,3,2.0,50,4,False,False,False,True,53,False
26106,112500,3.0,3,1.0,30,12,True,False,False,False,10,False
4326,202500,3.0,3,2.0,47,11,True,False,False,False,59,False
13227,112500,3.0,2,2.0,56,10,True,False,False,False,8,False
10860,270000,1.0,3,1.0,53,3,False,False,False,False,48,False
11343,135000,3.0,3,2.0,28,0,False,False,False,False,17,False
9603,67500,3.0,3,2.0,50,9,True,False,False,True,22,False
33770,180000,3.0,3,3.0,29,2,False,True,False,True,35,False
32597,157500,1.0,1,3.0,37,3,False,True,False,True,53,False
35649,180000,3.0,3,3.0,32,8,True,True,False,False,40,False
19257,315000,1.0,3,2.0,53,2,False,False,True,True,9,False
12217,170302,1.0,3,2.0,45,11,True,False,False,True,3,False
15782,270000,3.0,3,2.0,31,10,True,False,True,False,28,False
22175,45000,3.0,3,2.0,48,7,True,False,False,True,24,False
824,202500,3.0,3,2.0,34,1,False,False,False,False,56,False
32114,180000,3.0,3,3.0,44,16,True,True,False,True,23,False
13120,112500,3.0,1,3.0,39,7,True,True,False,False,45,False
31985,292500,1.0,3,2.0,37,3,False,False,False,True,11,False
25571,180000,2.0,3,1.0,28,0,False,False,False,True,5,False
6,270000,3.0,3,1.0,52,8,True,False,False,True,39,False
2814,256500,1.0,3,2.0,58,4,False,False,True,True,19,False
18884,121500,3.0,3,3.0,36,3,False,True,False,True,34,False
27617,202500,3.0,3,4.0,28,2,False,True,False,True,30,False
17243,135000,3.0,3,2.0,40,2,False,False,True,False,18,False
30084,112500,3.0,3,2.0,48,11,True,False,False,True,21,False
2816,256500,1.0,3,2.0,58,4,False,False,True,True,14,False
11198,67500,3.0,3,2.0,53,10,True,False,True,False,26,False
14121,202500,3.0,3,4.0,43,17,True,True,False,True,30,False
33056,112500,1.0,5,2.0,24,1,False,False,False,False,1,False
9449,180000,3.0,3,5.0,38,2,False,True,True,True,24,False
7682,112500,3.0,3,1.0,49,1,False,False,False,False,47,False
12950,180000,3.0,3,2.0,51,5,True,False,True,True,40,False
9572,202500,1.0,3,1.0,54,18,True,False,False,True,25,False
1352,202500,3.0,3,3.0,27,0,False,True,True,True,19,False
21355,112500,1.0,3,4.0,31,7,True,True,False,True,4,False
15688,225000,3.0,3,3.0,25,5,True,True,False,False,31,False
6226,180000,3.0,3,2.0,38,6,True,False,False,True,7,False
36279,126000,3.0,3,1.0,34,5,True,True,False,False,40,False
5213,99000,3.0,4,2.0,27,4,False,False,True,False,35,False
27187,112500,3.0,3,3.0,29,5,True,True,False,True,27,False
6467,225000,1.0,3,2.0,47,8,True,False,True,True,37,False
18654,135000,3.0,3,1.0,23,2,False,False,False,False,2,False
753,315000,1.0,3,2.0,37,1,False,False,False,True,47,False
28956,180000,3.0,3,3.0,32,1,False,True,False,False,24,False
22462,243000,1.0,3,4.0,28,0,False,True,True,False,32,False
16350,157500,3.0,3,2.0,47,1,False,False,True,True,47,False
9478,157500,3.0,3,3.0,34,1,False,True,False,False,13,False
36402,135000,3.0,4,2.0,39,7,True,False,False,False,32,False
5616,180000,3.0,2,1.0,54,8,True,False,False,False,18,False
26885,135000,3.0,3,4.0,31,12,True,True,False,False,32,False
23844,135000,3.0,3,2.0,38,0,False,False,False,False,12,False
19050,135000,3.0,5,1.0,26,5,True,False,False,False,43,False
19116,243000,3.0,3,2.0,36,14,True,True,False,True,11,False
14717,112500,2.0,3,2.0,25,4,False,False,False,False,5,False
36231,135000,1.0,3,3.0,36,10,True,True,False,False,12,True
26572,90000,3.0,5,2.0,36,2,False,True,False,True,18,False
25233,180000,3.0,5,1.0,28,8,True,False,False,False,49,False
5820,118350,1.0,3,3.0,27,2,False,True,False,False,22,False
32185,315000,3.0,3,4.0,42,10,True,True,False,False,24,False
8463,202500,3.0,2,2.0,50,9,True,False,False,False,8,False
24559,225000,3.0,1,3.0,41,18,True,True,True,False,12,False
13616,134419,1.0,3,1.0,28,1,False,False,False,True,41,False
4722,337500,1.0,3,3.0,39,3,False,True,True,False,8,False
27417,130500,3.0,3,4.0,30,0,False,True,False,True,12,False
32883,166500,3.0,3,3.0,38,10,True,True,False,False,6,False
4294,135000,3.0,3,3.0,38,1,False,True,False,True,22,True
10248,180000,3.0,3,2.0,43,22,True,False,False,False,22,False
6988,180000,3.0,3,2.0,47,1,False,False,False,False,14,False
21099,270000,3.0,3,2.0,38,1,False,False,False,True,3,False
19798,270000,3.0,3,2.0,45,18,True,False,False,False,49,False
36037,81000,3.0,3,1.0,49,1,False,False,True,False,54,False
36360,247500,3.0,4,2.0,52,4,False,False,False,True,49,False
14752,67500,3.0,5,2.0,42,23,True,False,False,True,37,False
20189,225000,1.0,3,2.0,36,8,True,False,False,True,50,False
965,135000,3.0,3,2.0,56,6,True,False,False,False,32,False
15501,315000,3.0,3,2.0,53,11,True,False,False,False,35,False
