,annual_income,living_place,age,working_years,employed,emp_stability,has_children,owns_realty_and_car,has_contact_information,credit_window,bad_client
8162,99000,3,34,1,True,False,True,False,True,60,False
33502,225000,4,29,4,True,False,False,False,True,60,False
593,198000,3,51,26,True,True,False,False,False,60,False
13859,112500,3,32,4,True,False,False,False,True,60,False
26588,225000,3,30,11,True,True,False,True,False,60,False
8712,225000,3,25,3,True,False,False,False,False,60,False
9794,81000,5,30,3,True,False,True,False,False,60,False
24016,216000,3,40,11,True,True,False,False,True,60,False
29311,94500,3,45,4,True,False,False,False,False,60,False
18199,157500,2,36,3,True,False,True,False,True,60,False
7308,292500,3,28,2,True,False,False,False,False,60,False
13600,202500,3,32,1,True,False,True,False,False,60,False
30967,216000,2,29,4,True,False,False,False,True,60,False
22590,135000,2,45,25,True,True,True,False,False,60,False
18862,315000,5,28,0,True,False,True,True,True,60,False
11444,180000,2,58,1,True,False,False,False,False,60,False
35571,135000,3,46,2,True,False,False,False,False,60,False
9551,81000,3,47,6,True,True,False,False,True,60,False
20409,67500,3,50,3,True,False,False,False,True,60,False
26097,112500,4,39,3,True,False,True,False,True,60,False
10234,58500,3,26,2,True,False,True,False,True,60,False
32777,157500,3,51,8,True,True,False,False,True,60,False
5200,81000,3,54,14,True,True,False,False,True,60,False
27257,90000,3,44,2,True,False,False,False,False,60,False
6009,234000,3,51,6,True,True,False,True,False,60,False
19111,117000,3,25,2,True,False,False,False,False,60,False
3155,202500,3,29,8,True,True,True,False,False,60,False
33056,112500,5,24,1,True,False,False,False,False,60,False
1809,135000,3,34,14,True,True,False,False,False,60,False
5133,135000,3,50,23,True,True,False,True,False,60,False
2505,76500,3,48,11,True,True,False,True,False,60,True
17355,135000,3,25,3,True,False,True,True,True,60,False
14331,306000,3,40,9,True,True,False,False,True,60,False
1512,292500,3,28,6,True,True,False,True,False,60,False
8707,225000,3,25,3,True,False,False,False,False,60,False
23231,225000,3,33,10,True,True,False,True,False,60,False
12246,247500,3,41,17,True,True,True,False,False,60,False
63,126000,3,34,4,True,False,True,False,True,60,False
19753,67500,3,44,5,True,False,True,True,True,60,False
28049,76500,3,49,6,True,True,False,True,True,60,False
12599,81000,3,52,6,True,True,False,False,True,60,False
31260,229500,3,45,3,True,False,False,False,True,60,False
9907,157500,3,39,14,True,True,True,False,False,60,False
21121,337500,3,35,9,True,True,True,False,True,60,False
27202,315000,3,37,5,True,False,True,True,False,60,False
2066,135000,3,26,3,True,False,True,False,False,60,False
20760,130500,5,32,9,True,True,False,False,False,60,False
7853,157500,3,47,21,True,True,False,True,True,60,False
27841,360000,3,47,8,True,True,False,True,False,60,False
3583,45000,3,42,2,True,False,True,False,True,60,False
25596,157500,2,57,10,True,True,False,False,True,60,False
20334,135000,3,36,8,True,True,False,False,True,60,False
20402,108000,3,54,0,True,False,False,False,True,60,False
15163,112500,4,22,4,True,False,False,False,False,60,False
27889,225000,3,44,3,True,False,True,True,False,60,False
4363,198000,3,57,3,True,False,False,True,False,60,False
23679,73350,3,39,19,True,True,True,False,False,60,False
26315,373500,3,56,4,True,False,False,True,False,60,False
9231,135000,5,41,17,True,True,False,True,False,60,False
3002,225000,3,35,3,True,False,True,False,False,60,False
22515,112500,5,54,4,True,False,False,False,False,60,False
9117,180000,3,63,5,True,False,False,False,False,60,False
23225,225000,3,33,10,True,True,False,True,False,60,False
28979,270000,3,54,6,True,True,False,False,False,60,False
22777,121500,3,59,13,True,True,False,False,False,60,False
14306,157500,3,23,1,True,False,True,False,True,60,False
17306,110250,3,48,6,True,True,False,False,True,60,False
20975,135000,3,25,2,True,False,False,False,False,60,False
4736,135000,3,31,1,True,False,True,False,False,60,False
15423,202500,3,39,2,True,False,False,True,True,60,False
6261,193500,3,48,13,True,True,False,True,True,60,False
22869,67500,3,41,5,True,False,False,False,True,60,False
31197,112500,3,30,0,True,False,True,False,True,60,False
35329,270000,3,60,4,True,False,False,True,True,60,False
21159,135000,3,57,10,True,True,False,False,False,60,False
12353,247500,3,37,5,True,False,True,False,False,60,False
16361,315000,3,55,3,True,False,False,False,False,60,False
15330,225000,3,26,1,True,False,False,True,True,60,False
16820,180000,3,37,12,True,True,False,False,True,60,False
1404,121500,3,27,4,True,False,False,True,True,60,False
4918,112500,3,34,6,True,True,False,False,True,60,False
8433,180000,2,28,8,True,True,True,True,False,60,False
716,157500,3,31,0,True,False,False,False,False,60,False
6788,225000,3,33,10,True,True,True,False,False,60,False
21110,180000,3,55,0,True,False,False,True,False,60,False
34134,135000,3,29,5,True,False,True,False,True,60,False
4924,135000,3,27,3,True,False,True,True,False,60,False
30576,360000,3,31,11,True,True,False,True,True,60,False
25282,225000,3,29,4,True,False,False,True,True,60,False
21089,179100,1,44,2,True,False,False,True,False,60,False
15178,157500,3,53,4,True,False,False,False,True,60,False
1135,225000,3,55,2,True,False,False,True,False,60,False
6043,67500,3,27,5,True,False,False,False,False,60,False
30994,135000,3,37,5,True,False,False,False,True,60,False
10071,135000,3,24,3,True,False,False,False,False,60,False
522,202500,3,47,3,True,False,False,False,True,60,False
11170,135000,3,29,4,True,False,True,False,False,60,False
19229,90000,3,52,4,True,False,False,False,False,60,False
26684,162000,3,38,8,True,True,False,False,True,60,False
26001,121500,3,24,4,True,False,False,False,True,60,False
32249,351000,3,44,23,True,True,True,False,False,60,False
19938,135000,3,51,4,True,False,True,False,True,60,False
10160,202500,3,32,2,True,False,True,True,False,60,False
22020,135000,3,48,5,True,False,False,False,True,60,False
650,238500,3,52,9,True,True,False,False,True,60,False
7947,67500,2,41,19,True,True,False,False,False,60,False
5689,180000,3,39,2,True,False,True,False,True,60,False
22086,157500,3,27,3,True,False,True,False,False,60,False
16111,247500,3,41,1,True,False,False,False,True,60,False
21888,112500,3,44,4,True,False,False,False,False,60,False
11644,112500,3,27,4,True,False,True,False,False,60,False
16685,180000,5,30,4,True,False,False,True,False,60,False
21252,315000,3,40,10,True,True,False,True,True,60,False
12163,157500,3,40,7,True,True,False,False,False,60,False
4187,180000,3,55,7,True,True,False,False,False,60,False
25655,324000,2,31,6,True,True,True,True,True,60,False
23620,225000,5,44,2,True,False,False,False,True,60,False
9859,270000,3,44,1,True,False,False,False,False,60,False
22333,135000,3,41,8,True,True,True,True,True,60,False
4226,202500,3,26,3,True,False,True,False,False,60,False
30833,180000,3,39,0,True,False,False,False,True,60,False
31986,292500,3,37,3,True,False,False,False,True,60,False
28631,135000,3,49,25,True,True,False,True,False,60,False
20125,67500,3,32,3,True,False,True,False,True,60,False
30054,234000,3,32,4,True,False,True,False,False,60,False
29378,144000,4,39,9,True,True,True,False,True,60,False
4909,315000,3,56,2,True,False,False,False,False,60,False
31922,270000,3,44,8,True,True,False,False,False,60,False
2649,135000,3,27,4,True,False,False,False,True,60,False
13315,225000,3,40,4,True,False,True,True,False,60,False
32363,225000,3,59,11,True,True,False,False,True,60,False
29291,135000,3,50,10,True,True,False,True,False,60,False
25869,135000,3,36,1,True,False,True,False,False,60,False
23773,153000,3,40,7,True,True,False,False,True,60,False
3739,112500,3,31,2,True,False,True,False,False,60,False
4442,202500,3,54,9,True,True,False,False,False,60,False
8916,180000,2,37,1,True,False,False,True,True,60,False
9731,270000,3,43,20,True,True,True,False,True,60,False
30116,157500,3,37,0,True,False,True,False,False,60,False
8974,157500,3,34,1,True,False,False,True,False,60,False
15594,202500,3,28,2,True,False,False,True,True,60,False
20885,225000,3,45,5,True,False,True,False,True,60,False
11643,112500,3,27,4,True,False,True,False,False,60,False
6945,135000,3,48,10,True,True,False,False,False,60,False
32983,238500,3,48,5,True,False,False,False,False,60,False
14427,54000,3,51,21,True,True,False,False,True,60,False
16502,90000,5,30,8,True,True,False,True,True,60,False
18707,180000,3,40,10,True,True,False,True,False,60,False
14634,202500,3,36,10,True,True,True,True,True,60,False
20478,90000,1,54,12,True,True,False,False,True,60,False
18740,54000,3,54,2,True,False,False,True,True,60,False
24677,148500,3,35,7,True,True,True,False,True,60,False
5813,135000,3,38,4,True,False,False,True,False,60,False
27483,171000,5,42,4,True,False,True,False,False,60,False
25183,90000,3,47,0,True,False,True,False,True,60,False
24934,157500,3,35,10,True,True,True,False,True,60,True
32478,211500,3,47,4,True,False,False,False,True,60,False
18654,135000,3,23,2,True,False,False,False,False,60,False
23812,117000,3,46,20,True,True,False,False,True,60,False
2202,247500,3,53,3,True,False,False,True,True,60,False
14336,288000,3,44,0,True,False,False,False,True,60,False
32319,225000,3,35,16,True,True,True,False,True,60,False
12852,234000,3,31,9,True,True,True,True,False,60,False
21599,126000,3,36,4,True,False,True,False,True,60,False
4001,180000,3,51,4,True,False,False,False,True,60,False
32137,90000,3,52,8,True,True,False,True,True,60,False
14080,103500,3,50,1,True,False,False,False,True,60,False
25799,112500,3,31,4,True,False,True,True,False,60,False
2371,225000,3,33,0,True,False,False,False,False,60,False
9851,90000,3,41,4,True,False,False,False,True,60,False
30557,157500,3,46,2,True,False,False,False,True,60,False
31142,135000,3,56,20,True,True,False,False,True,60,False
575,157500,3,37,2,True,False,False,False,True,60,False
32318,225000,3,35,16,True,True,True,False,True,60,False
23876,270000,3,26,0,True,False,False,False,False,60,False
8228,202500,3,44,9,True,True,True,False,True,60,False
997,279000,3,30,1,True,False,False,False,True,60,False
15687,225000,3,25,5,True,False,True,False,False,60,False
11892,231750,3,39,0,True,False,True,False,False,60,False
14067,360000,4,41,3,True,False,True,False,False,60,False
29805,139500,5,36,8,True,True,True,False,True,60,False
35834,202500,3,43,15,True,True,False,False,False,60,False
7339,292500,3,57,13,True,True,False,False,False,60,False
16141,180000,3,52,1,True,False,False,True,True,60,False
36168,135000,3,29,6,True,True,False,False,False,60,True
27193,225000,3,41,0,True,False,True,False,False,60,False
12881,157500,3,45,6,True,True,False,True,False,60,False
22876,85500,2,41,18,True,True,True,False,False,60,False
26085,112500,5,28,4,True,False,False,False,True,60,False
12257,225000,3,28,9,True,True,True,False,True,60,False
30758,135000,3,34,4,True,False,False,False,True,60,False
15061,157500,3,36,5,True,False,False,False,False,60,False
34743,135000,3,52,29,True,True,False,False,False,60,False
20031,112500,3,31,6,True,True,False,True,True,60,False
25853,157500,3,35,9,True,True,True,False,False,60,False
4044,225000,3,47,1,True,False,True,True,False,60,False
23395,81000,3,38,2,True,False,True,False,False,60,False
36028,116100,3,27,6,True,True,False,True,False,60,False
19693,216000,3,49,8,True,True,False,False,False,60,False
18755,225000,3,47,5,True,False,False,False,False,60,False
24018,216000,3,40,11,True,True,False,False,True,60,False
2109,135000,3,32,6,True,True,False,False,True,60,False
2289,180000,3,50,5,True,False,True,False,True,60,False
26726,225000,3,32,4,True,False,False,False,True,60,False
27088,81000,5,32,7,True,True,False,False,True,60,False
17836,202500,2,33,3,True,False,True,False,False,60,False
14169,157500,3,49,12,True,True,False,False,False,60,False
30316,180000,3,50,4,True,False,False,False,True,60,False
33594,202500,3,34,12,True,True,True,False,False,60,False
450,180000,3,40,1,True,False,False,False,True,60,False
22129,135000,3,42,8,True,True,False,False,True,60,False
5510,216000,3,52,5,True,False,False,True,True,60,False
16540,180000,1,26,3,True,False,False,False,True,60,False
28784,180000,3,41,6,True,True,True,False,False,60,False
12035,112500,3,40,2,True,False,False,False,True,60,False
8633,112500,3,32,9,True,True,False,False,True,60,False
25382,247500,3,48,1,True,False,False,False,False,60,False
5524,225000,3,49,4,True,False,False,False,True,60,False
27479,135000,5,27,1,True,False,False,False,True,60,False
34509,157500,3,53,0,True,False,False,False,False,60,False
30173,126000,3,46,4,True,False,False,False,False,60,False
26656,135000,3,34,4,True,False,True,True,False,60,False
11610,90000,3,51,27,True,True,False,False,False,60,False
28669,225000,3,24,1,True,False,False,True,False,60,False
33115,315000,3,35,11,True,True,False,False,False,60,False
19826,117000,3,44,13,True,True,False,False,False,60,False
34197,157500,3,32,3,True,False,True,False,False,60,False
32766,135000,3,40,9,True,True,False,False,True,60,False
8479,157500,3,28,3,True,False,True,True,True,60,False
12427,135000,3,60,0,True,False,False,False,True,60,False
3562,180000,3,58,4,True,False,False,True,False,60,False
28724,157500,3,42,1,True,False,False,False,False,60,False
30252,112500,3,27,2,True,False,False,False,False,60,False
169,270000,3,29,2,True,False,False,True,True,60,False
33051,315000,3,29,2,True,False,False,False,True,60,False
28756,157500,3,28,6,True,True,False,True,False,60,False
8693,112500,3,43,3,True,False,True,False,False,60,False
33910,112500,3,55,15,True,True,False,False,True,60,False
19303,135000,3,49,14,True,True,False,False,False,60,False
27712,180000,3,27,6,True,True,True,False,True,60,False
1648,157500,3,45,2,True,False,False,False,False,60,False
208,148500,3,48,2,True,False,False,False,False,60,False
33861,90000,3,39,0,True,False,False,False,True,60,False
22749,202500,3,33,5,True,False,False,False,False,60,False
14319,225000,5,48,5,True,False,True,False,False,60,False
30302,112500,3,50,14,True,True,True,False,False,60,False
33028,81000,3,45,22,True,True,True,False,False,60,False
30773,112500,3,40,7,True,True,True,False,False,60,False
6558,202500,3,36,7,True,True,False,True,False,60,False
33820,270000,3,27,4,True,False,True,False,True,60,False
4113,315000,3,29,7,True,True,False,True,False,60,False
29850,135000,3,31,12,True,True,False,False,False,60,False
6241,180000,3,34,4,True,False,False,False,True,60,False
21632,337500,1,39,8,True,True,False,True,True,60,False
7704,112500,3,37,3,True,False,False,True,False,60,False
30353,49500,3,50,0,True,False,False,False,True,60,False
24078,90000,3,38,19,True,True,False,False,True,60,False
21613,144000,3,59,15,True,True,False,True,True,60,False
24250,270000,3,39,16,True,True,True,True,True,60,False
24603,225000,3,36,6,True,True,False,False,True,60,False
30974,157500,3,33,1,True,False,True,False,True,60,False
35694,180000,3,28,0,True,False,False,False,False,60,False
5333,112500,3,37,14,True,True,True,False,True,60,False
10344,261000,3,43,4,True,False,False,True,True,60,False
1483,270000,3,36,11,True,True,True,True,False,60,False
5989,135000,3,35,3,True,False,True,True,False,60,False
4617,180000,3,27,4,True,False,False,True,False,60,False
16065,157500,3,31,1,True,False,False,False,False,60,False
5594,225000,5,37,14,True,True,True,False,False,60,False
29834,135000,3,29,3,True,False,False,False,True,60,False
31912,157500,3,52,8,True,True,False,False,False,60,False
32526,90000,3,50,4,True,False,False,False,True,60,False
22107,135000,3,51,5,True,False,False,False,False,60,False
7263,252000,3,39,8,True,True,True,True,True,60,False
28221,103500,3,31,1,True,False,True,False,False,60,False
11362,315000,3,59,2,True,False,False,True,False,60,False
29107,247500,3,36,3,True,False,True,False,False,60,False
26269,202500,3,57,14,True,True,False,True,False,60,False
24539,112500,3,29,5,True,False,True,False,False,60,False
34341,202500,3,43,4,True,False,False,False,False,60,False
25677,112500,3,35,0,True,False,False,False,True,60,False
2434,315000,3,49,1,True,False,True,True,True,60,False
9596,135000,3,43,4,True,False,False,False,True,60,False
9337,180000,3,26,7,True,True,False,True,False,60,False
33635,126000,3,28,7,True,True,False,False,True,60,False
16588,157500,3,42,5,True,False,True,False,False,60,False
33952,157500,3,35,4,True,False,True,False,True,60,False
23860,112500,3,25,6,True,True,True,False,False,60,False
26246,211500,3,28,8,True,True,True,True,False,60,False
3043,202500,3,32,4,True,False,False,True,True,60,True
13221,112500,2,56,10,True,True,False,False,False,60,False
16678,180000,5,30,4,True,False,False,True,False,60,False
26253,211500,3,28,8,True,True,True,True,False,60,False
29313,112500,1,52,1,True,False,False,False,True,60,False
26133,225000,5,27,1,True,False,True,False,True,60,False
28196,135000,3,52,17,True,True,False,True,False,60,False
5425,202500,3,44,7,True,True,True,False,True,60,False
113,297000,4,42,8,True,True,False,False,False,60,False
19663,72000,3,54,5,True,False,False,False,True,60,False
29892,76500,3,27,2,True,False,True,False,True,60,False
11320,225000,3,28,2,True,False,False,True,False,60,False
29774,157500,3,37,7,True,True,False,False,False,60,False
2828,234000,3,56,22,True,True,True,False,False,60,False
35751,157500,2,30,3,True,False,True,False,False,60,False
34715,202500,3,31,1,True,False,False,False,True,60,False
11725,229500,3,45,3,True,False,False,False,False,60,False
13014,247500,3,49,6,True,True,False,True,False,60,False
3830,135000,3,34,0,True,False,False,False,False,60,False
28377,180000,5,27,7,True,True,True,False,False,60,False
19870,225000,3,41,11,True,True,True,True,True,60,False
34064,135000,3,56,14,True,True,False,False,False,60,False
910,112500,3,44,21,True,True,False,True,False,60,False
24666,157500,3,42,16,True,True,False,False,False,60,False
28868,121500,3,60,5,True,False,False,False,False,60,False
25381,216000,4,46,3,True,False,True,True,False,60,False
35456,202500,3,59,19,True,True,False,False,True,60,False
29343,148500,3,31,10,True,True,True,False,True,60,False
12474,225000,3,56,15,True,True,False,False,True,60,False
10324,360000,3,58,5,True,False,False,True,True,60,False
32781,108000,3,55,23,True,True,False,False,True,60,False
135,225000,3,28,7,True,True,True,False,False,60,False
26841,121500,3,31,0,True,False,True,True,True,60,False
22720,360000,3,42,15,True,True,False,False,True,60,False
8756,180000,3,30,9,True,True,True,False,False,60,False
22222,252000,3,29,2,True,False,True,True,False,60,False
16083,90000,2,38,19,True,True,True,False,True,60,False
19609,135000,4,28,6,True,True,False,False,True,60,False
34310,81000,3,50,6,True,True,False,True,False,60,False
18518,67500,3,35,2,True,False,True,True,True,60,False
27019,180000,3,39,9,True,True,False,False,False,60,False
24484,157500,3,32,4,True,False,False,False,True,60,False
29361,90000,3,45,1,True,False,False,False,True,60,False
29595,144000,3,26,2,True,False,False,False,True,60,False
15136,225000,3,57,2,True,False,False,False,False,60,False
35218,270000,3,34,9,True,True,True,False,False,60,False
4800,157500,3,31,1,True,False,False,False,False,60,False
29702,180000,3,30,6,True,True,False,False,False,60,False
7064,148500,1,46,6,True,True,False,True,False,60,False
15115,225000,3,60,7,True,True,False,False,False,60,False
15216,292500,3,51,13,True,True,False,False,True,60,False
17894,90000,3,27,5,True,False,True,False,True,60,False
28861,216000,3,44,4,True,False,False,True,False,60,False
21231,112500,3,31,6,True,True,False,False,True,60,False
33779,135000,3,28,4,True,False,True,False,True,60,False
7090,135000,3,37,6,True,True,True,True,True,60,True
14325,306000,3,40,9,True,True,False,False,True,60,False
33673,202500,3,39,5,True,False,True,False,True,60,False
5119,157500,3,47,5,True,False,False,True,False,60,False
34175,247500,3,32,4,True,False,False,True,False,60,False
24636,202500,3,35,3,True,False,True,False,True,60,False
26259,135000,3,36,1,True,False,True,True,False,60,False
17963,337500,3,54,8,True,True,False,True,False,60,False
18589,247500,3,25,0,True,False,True,True,False,60,False
29605,32400,3,52,15,True,True,False,False,False,60,False
2477,135000,3,55,14,True,True,True,True,True,60,False
16124,157500,3,25,3,True,False,False,True,False,60,False
11749,126000,3,25,0,True,False,True,True,False,60,False
9821,225000,3,28,1,True,False,False,False,True,60,False
17912,229500,3,59,11,True,True,True,False,False,60,False
30931,270000,3,54,1,True,False,False,False,True,60,False
27652,157500,3,47,3,True,False,True,False,True,60,False
16113,247500,3,41,1,True,False,False,False,True,60,False
30378,225000,3,26,7,True,True,False,False,True,60,False
21106,247500,3,25,2,True,False,False,False,True,60,False
24827,81000,3,48,8,True,True,False,False,True,60,False
17650,180000,3,46,8,True,True,False,False,False,60,False
24976,157500,3,47,8,True,True,False,False,False,60,False
22818,144000,3,59,8,True,True,False,False,True,60,False
28990,247500,3,42,2,True,False,True,True,True,60,False
8092,256500,3,48,3,True,False,True,False,True,60,False
18872,135000,5,28,0,True,False,True,True,False,60,False
10346,261000,3,43,4,True,False,False,True,True,60,False
11259,180000,3,38,6,True,True,True,False,True,60,False
6597,180000,3,41,19,True,True,False,True,False,60,False
1185,135000,3,40,5,True,False,False,False,False,60,False
31352,144000,3,43,5,True,False,False,False,True,60,False
12676,225000,3,38,10,True,True,True,False,False,60,False
10056,121500,3,37,4,True,False,True,False,False,60,False
376,337500,5,28,4,True,False,False,False,True,60,False
15125,135000,3,38,2,True,False,True,False,True,60,False
23143,180000,3,43,3,True,False,True,True,False,60,False
8430,180000,2,28,8,True,True,True,True,False,60,False
18628,157500,4,26,5,True,False,False,False,False,60,False
14929,202500,3,38,12,True,True,True,False,False,60,False
18572,157500,3,55,1,True,False,False,False,False,60,False
26044,247500,3,28,4,True,False,False,False,True,60,False
12174,180000,3,25,4,True,False,False,False,False,60,False
20927,225000,3,36,3,True,False,False,False,False,60,False
20830,126000,3,59,3,True,False,False,False,True,60,False
10530,270000,3,39,6,True,True,True,False,False,60,False
19620,202500,3,53,32,True,True,False,False,True,60,False
20487,126000,3,55,0,True,False,False,False,True,60,False
20637,202500,3,30,7,True,True,False,False,True,60,True
34592,135000,3,29,3,True,False,True,True,True,60,False
13091,369000,3,46,3,True,False,False,True,False,60,False
26331,67500,2,33,8,True,True,True,True,False,60,False
17875,360000,3,52,28,True,True,False,False,False,60,False
9540,112500,2,47,2,True,False,False,False,True,60,False
4552,90000,5,28,4,True,False,True,False,False,60,False
20741,144000,3,40,1,True,False,False,False,True,60,False
667,117000,3,40,10,True,True,False,False,True,60,False
32076,90000,3,53,7,True,True,False,False,False,60,False
17297,225000,4,24,1,True,False,False,True,True,60,False
16087,90000,2,38,19,True,True,True,False,True,60,False
10540,139500,3,39,15,True,True,True,True,True,60,False
32527,90000,3,50,4,True,False,False,False,True,60,False
4815,180000,3,46,4,True,False,False,False,False,60,False
29914,180000,3,47,2,True,False,False,False,False,60,False
33947,225000,3,47,7,True,True,False,False,False,60,False
20270,202500,5,38,14,True,True,False,False,True,60,False
32791,180000,3,27,1,True,False,False,True,False,60,False
36114,225000,3,38,4,True,False,True,True,True,60,True
25864,135000,3,33,1,True,False,True,True,False,60,False
6675,90000,3,34,1,True,False,True,False,True,60,False
11251,180000,3,38,6,True,True,True,False,True,60,False
6486,112500,3,28,8,True,True,True,True,True,60,False
28436,189000,3,51,4,True,False,True,False,False,60,False
33341,67500,3,51,1,True,False,False,False,True,60,True
19934,135000,3,51,4,True,False,True,False,True,60,False
12543,180000,3,28,1,True,False,True,False,True,60,False
9652,157500,5,30,3,True,False,False,False,True,60,False
29996,315000,3,46,14,True,True,False,False,True,60,False
4479,135000,4,28,7,True,True,True,False,True,60,False
5958,135000,3,33,1,True,False,True,True,False,60,False
23966,144000,3,34,3,True,False,True,False,True,60,False
21200,180000,2,26,8,True,True,False,False,True,60,False
19294,121500,3,38,3,True,False,True,False,True,60,False
23228,225000,3,33,10,True,True,False,True,False,60,False
4531,112500,3,38,10,True,True,False,False,True,60,False
25865,135000,3,36,1,True,False,True,False,False,60,False
12932,121500,3,47,21,True,True,False,True,True,60,False
29445,112500,3,31,2,True,False,False,False,False,60,False
12608,180000,3,39,2,True,False,False,False,True,60,False
12230,157500,3,59,14,True,True,False,False,False,60,False
35205,76500,3,44,4,True,False,False,False,False,60,False
17994,121500,3,44,2,True,False,True,False,True,60,False
24686,112500,3,32,5,True,False,False,False,False,60,False
24738,103500,3,36,0,True,False,True,False,False,60,False
300,157500,3,35,8,True,True,False,False,True,60,False
3102,112500,3,43,2,True,False,False,False,False,60,False
22263,135000,3,33,10,True,True,False,True,False,60,False
24848,315000,3,55,10,True,True,False,False,True,60,False
28991,247500,3,42,2,True,False,True,True,True,60,False
17127,247500,3,31,4,True,False,True,False,True,60,False
18741,90000,5,27,8,True,True,False,False,False,60,False
14842,157500,3,46,2,True,False,False,False,True,60,False
15599,202500,3,28,2,True,False,False,True,True,60,False
13533,292500,3,54,17,True,True,False,False,True,60,False
2829,234000,3,56,22,True,True,True,False,False,60,False
21602,135000,3,48,3,True,False,False,True,False,60,False
14052,225000,3,27,6,True,True,False,False,False,60,False
28116,135000,3,39,20,True,True,True,False,False,60,False
10162,202500,3,32,1,True,False,False,False,True,60,False
10869,99000,3,57,6,True,True,False,True,False,60,False
27218,252000,3,24,0,True,False,False,False,False,60,False
36401,270000,3,31,0,True,False,False,False,True,60,True
28854,157500,3,42,6,True,True,True,False,False,60,True
5648,247500,3,40,3,True,False,False,True,False,60,False
27006,135000,3,26,5,True,False,True,False,True,60,False
15885,157500,3,42,11,True,True,True,False,False,60,True
35034,112500,3,30,12,True,True,True,False,False,60,False
26078,112500,5,28,4,True,False,False,False,True,60,False
35118,90000,2,48,15,True,True,False,False,False,60,False
30513,81000,3,30,7,True,True,False,True,False,60,False
18492,135000,5,32,1,True,False,True,False,False,60,False
26203,81000,3,33,8,True,True,True,False,True,60,False
5313,225000,3,41,7,True,True,False,False,True,60,False
12020,225000,3,28,2,True,False,True,False,False,60,False
4991,180000,3,40,10,True,True,False,False,False,60,False
11669,90000,3,59,4,True,False,False,False,False,60,False
15803,202500,3,51,3,True,False,False,True,False,60,False
2092,225000,3,31,2,True,False,True,False,False,60,False
31612,157500,3,50,4,True,False,False,False,False,60,False
19437,112500,3,38,7,True,True,True,True,False,60,False
5534,130500,3,38,15,True,True,True,True,False,60,False
32967,135000,3,32,1,True,False,False,True,True,60,False
34322,225000,5,25,1,True,False,False,True,True,60,False
16022,135000,2,34,6,True,True,True,False,False,60,False
12424,135000,3,60,0,True,False,False,False,True,60,False
20814,225000,3,29,6,True,True,True,True,True,60,False
3081,157500,2,27,5,True,False,False,True,True,60,False
22204,202500,3,53,17,True,True,False,False,False,60,False
36063,180000,3,31,3,True,False,False,False,False,60,False
5599,157500,3,48,5,True,False,False,False,True,60,False
32696,135000,3,40,5,True,False,False,False,False,60,False
8634,112500,3,32,9,True,True,False,False,True,60,False
6908,135000,3,51,19,True,True,False,False,False,60,False
14020,180000,3,42,1,True,False,False,True,False,60,False
7489,252000,3,50,20,True,True,True,False,False,60,False
13643,67500,3,47,1,True,False,False,False,True,60,False
16390,112500,5,33,14,True,True,True,False,True,60,False
